,duration10mean,duration20mean,loudness33skew,timbre10dstd,loudness10mean,pitches20dskew,pitches100mean,pitches20dstd,pitches10std,pitches20mean,timbre100mean,timbre10kurt,timbre100dstd,loudness10dskew,pitches33mean,loudness20mean,duration33mean,pitches10mean,loudness20dkurt,loudness33mean
Lana Del Rey - Ride,1.3561854401219553,1.3561854401219555,0.854568855879753,0.042671938398591985,-0.2634037759823622,1.8390979853162144,-0.12699197906315216,0.8509451231985471,0.16800660008792012,-0.1269919790631538,-0.7103177831875739,-0.40941307132311133,0.42931963834546805,-0.14908611938799238,-0.10986689553132152,-0.26340377598236175,1.3849114408091694,-0.12699197906315216,-2.2072484968118404,-0.259667584433801
Lana Del Rey - American,0.8058667698707948,0.8058667698707959,-1.0297778999979135,-0.6151596895636906,-0.08161096771174443,1.1829520930747273,-0.13336189064339196,0.8946351800039649,1.5322439421987002,-0.13336189064339196,-1.2046385136201885,0.01656173736581972,0.9506240779083874,0.4049221406115978,-0.14618585594632588,-0.08161096771174443,0.8274790813511087,-0.13336189064339113,0.5441256167691086,-0.07476144598785762
Lana Del Rey - Cola,0.5735571523542213,0.5735571523542224,1.5670906137829652,-0.6461192038949485,0.2872789155091642,0.6434943949212256,-0.031147603468028112,-0.528732862940727,-0.07906829421675239,-0.03114760346802647,0.14739591502101385,-0.32024421833164873,-0.11011921720437441,-0.036783791033474705,-0.017361979882671418,0.2872789155091642,0.604198635244328,-0.03114760346802647,-1.9389425583476998,0.2849419650309822
Lana Del Rey - Body Electric,1.105445719528637,1.105445719528638,1.0039181452067187,-1.158271617850505,-0.6727340603581641,-0.7675369004123098,0.8040993519207327,0.24641814037252904,-0.179687010697442,0.8040993519207327,0.6698454983191712,-0.027555755488154598,-0.7796768356852859,0.6289744292299382,0.8028557503682012,-0.6727340603581645,1.034865180029682,0.8040993519207335,0.473774967417545,-0.6816293651094667
Lana Del Rey - Blue Velvet,1.8417158234010054,1.8417158234010056,-0.5123610336488275,-0.7819951961616858,-0.029136526968268482,0.5957277381899805,-0.8398676350032958,-1.0498538664276826,-1.117058763988558,-0.8398676350032965,-1.300147187120209,-0.4013313981283574,-0.8809118741850239,1.5194042159696886,-0.841929510128342,-0.029136526968268482,1.842284452311014,-0.8398676350032965,-1.8081528591900442,-0.03531148492937688
Lana Del Rey - Gods & Monsters,0.8062802773989877,0.8062802773989888,-0.9826139312842377,-0.2237359023125828,0.26744535570273176,0.7367489832293157,0.8783698103456488,2.1427627883345104,1.2836462660592507,0.878369810345648,0.8691150076489594,-0.37447471843478064,-0.2675589553120707,0.675507578134648,0.8688630305184651,0.26744535570273176,0.7557646223962065,0.8783698103456496,-1.018466159786378,0.2588137073251417
Lana Del Rey - Yayo,1.5888541562814325,1.5888541562814347,2.028392315557072,-0.024431537912010068,-1.080930363175528,-0.22834357968490215,-1.141964079946976,0.19425825130126864,-0.6960900495616498,-1.141964079946976,-0.2902182744188654,-0.5085832682186189,1.0954880949948629,-0.1321025297029933,-1.1392613974517294,-1.080930363175528,1.5875455644399452,-1.1419640799469768,-1.9088201252266739,-1.0814397388092603
Lana Del Rey - Bel Air,0.425657479474324,0.42565747947432503,-0.938769485604165,-1.6176291747948721,-0.8652366944584889,1.0612045180236191,-1.164388140055361,-0.9368761598865137,-1.290719613334397,-1.164388140055361,0.19835530543742638,-0.37905441156496295,-0.2492393734965463,-1.0896520247541812,-1.18848019452752,-0.8652366944584885,0.44714677728437574,-1.164388140055361,0.44540699028932706,-0.8697782047451149
David Garret - Smooth Criminal,-1.6282307858016405,-1.6282307858016398,-0.3998301604609191,-0.5407978508455943,0.9713539082748187,1.141192529042054,-0.35208272308517924,-0.6097173873700951,0.04960584739647908,-0.35208272308517924,-0.7126742636458305,0.05392717219409591,-1.6516069340887554,-0.589715152728237,-0.3509380459592622,0.9713539082748187,-1.6308717289833299,-0.35208272308518007,0.6803724821304603,0.9821575618126397
David Garret - Clair de Lune,0.9371771736262108,0.9371771736262119,0.9968032306333,-0.8922143113736934,-1.8961469879348358,0.5326136670136321,-0.7853229569264705,-0.6157727288701357,-0.7047174596756335,-0.7853229569264705,-0.3366157139133388,-0.5320855720411386,1.509973081362589,1.087634332820545,-0.7678458105035004,-1.896146987934835,0.9466967781293619,-0.7853229569264712,0.46767952754346837,-1.8729176479181997
David Garret - He's A Pirate,-1.3283108737959914,-1.3283108737959906,-0.9741189280882215,-0.7405072488887969,0.7752566267506825,-1.1112334560605928,-0.08704758188107349,-0.5053325605523298,-1.0249937872567434,-0.08704758188107267,0.9625976303884461,0.08206780247815508,0.36042033620277186,1.437427677795045,-0.1221061608461913,0.7752566267506825,-1.3176266711029507,-0.08704758188107267,0.593981995896519,0.7725939533838909
David Garret - Summertime,0.4886321369368149,0.488632136936816,-1.0602902048218947,-0.42595796136561725,-1.8159801740136932,-3.2283008283202803,-0.9463449577816831,0.6034844271647601,0.4592719704227444,-0.9463449577816823,-1.0985423616117063,-0.3035868397155268,0.8604250396204142,-0.3916398562452785,-0.9751904314588948,-1.8159801740136936,0.4637493341212513,-0.9463449577816831,0.23577863338730318,-1.8132972393213014
David Garret - Hungarian Dance No. 5,-0.7830068891389264,-0.7830068891389255,0.3751998563005863,-0.9301748685951611,0.7939463228064451,-1.773103768816061,-0.7078983449918049,-0.6415176986532746,-0.7332942625453094,-0.7078983449918042,1.0250067053681986,-0.29021343775512165,1.2555944370365506,-1.4302685633097827,-0.7033092363686699,0.7939463228064451,-0.7765601870990758,-0.7078983449918042,0.8123095704458002,0.7904922703112561
David Garret - Chelsea Girl,0.7382474072341706,0.7382474072341717,0.22497737536711998,-0.9205385737739701,-1.5197688735513342,-0.6090512276794774,-1.8286454766616096,-1.44577469411113,-1.9283561697190712,-1.8286454766616105,-0.8322633112048423,0.8145573735519237,0.766082636970129,-0.293617851009894,-1.8502854378618834,-1.5197688735513342,0.7823958647972702,-1.8286454766616096,-1.5013259725871286,-1.4994694643201276
David Garret - Summer,-1.022694351500629,-1.0226943515006282,1.9816636550366225,0.4247374075764479,1.5136070897938052,0.4524508907665444,0.39998575439604767,2.2330971174691485,1.2717479513719963,0.39998575439604933,0.7142355726332473,-0.1234065095212744,-0.31129185389977165,-0.8198492804149982,0.4334094138474171,1.5136070897938052,-1.0236720632814627,0.3999857543960485,-0.8111081850043189,1.5195475593577505
David Garret - Air,-0.49050653545712675,-0.4905065354571258,-0.8294109677189334,0.20179789005381596,-0.03454455666635999,-0.5055889395364633,-0.7293613739526874,0.6956244128810466,0.4124656702793724,-0.7293613739526874,1.510873354804079,0.021353851627620657,0.46749187443736745,1.028131479827642,-0.7120586907994638,-0.03454455666635999,-0.49362685885755236,-0.7293613739526865,0.6698611934191467,-0.03893245978050559
David Garret - Thunderstruck,-1.1041897935153469,-1.104189793515346,0.2673836465168277,-0.18463089556397416,-0.1544279011615185,-0.0070996372593416625,0.10793085285255109,-0.8066048458344686,-0.5957081940737211,0.10793085285255274,1.0098601359755734,-0.1326602424327332,-0.7296171660042651,-0.9005102978872797,0.11247144861530434,-0.1544279011615185,-1.146263845817591,0.10793085285255191,-1.9342440129671532,-0.15863865312355171
